id,nhet,cnlr.median,mafR,mafR.clust,start,end,cf.em,tcn.em,lcn.em,label
170014295BCD_170014295FD,0.8802816901408451,0.6599636298163999,0.010544424131761557,0.0014757635644708931,0.013368181735361343,0.9993686898238593,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.8450704225352113,0.650235844103665,0.010498738399397554,0.0015484747079228458,0.0005321763987780116,0.9734241599438037,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.38028169014084506,0.6477713763999793,0.011197466053848316,0.0015484747079228458,0.0019734830923840317,0.7955331840677533,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.6619718309859155,0.6622099481950813,0.01057630252877678,0.0014003456467064693,0.0008166835037625342,0.7673425785612789,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.7323943661971831,0.655092365918464,0.0108238967051113,0.0014757635644708931,0.0007514945874978996,0.7238652911996373,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.5070422535211268,0.6575882783696633,0.010843846032890783,0.0014757635644708931,0.001275791630310012,0.6867402721873801,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.5492957746478874,0.65424791483582,0.010390138744567682,0.0014757635644708931,0.0,0.6393562635788289,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.2535211267605634,0.655327727746662,0.01054175738430238,0.0014757635644708931,0.003254991912120482,0.5856729989659997,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.36619718309859156,0.6559469765828017,0.010808114629972046,0.0014757635644708931,0.020200785911096086,0.567026672317614,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.3098591549295775,0.658146861224905,0.010680763293095938,0.0014757635644708931,0.032653443979034275,0.5299297030383343,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.3591549295774648,0.651574461146841,0.010131046377034797,0.0015484747079228458,0.0011154592883070925,0.5391388059007703,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.5704225352112676,0.6553630092883098,0.01087441595260931,0.0014757635644708931,0.001464118765297632,0.5363707975546124,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.14084507042253522,0.6490565019467492,0.01237042916646632,0.0015484747079228458,0.079841214376383,0.4590688246143173,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.2746478873239437,0.6572372779309905,0.010104877679842849,0.0014757635644708931,0.0787712901534369,0.4252145719043032,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.1971830985915493,0.6582511240189753,0.010372479534971434,0.0014757635644708931,0.08276969889603988,0.4093661387028586,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.2535211267605634,0.6565668699749547,0.010452143381405099,0.0014757635644708931,0.0012357308143148382,0.362001816023995,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.5140845070422535,0.6578893508917278,0.01015912976551858,0.0014757635644708931,0.00699882781420754,0.324737192335554,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.11267605633802817,0.6544192158400125,0.013247892202691566,0.0014757635644708931,0.0025294109310880276,0.2773750431185656,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.4225352112676056,0.656814027495712,0.010662129232549396,0.0014757635644708931,0.004753527186005033,0.23407002273517596,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.11267605633802817,0.6664725186742838,0.012088017894565194,0.0014003456467064693,0.001833861390548417,0.2513522404364991,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.28169014084507044,0.6624333714488451,0.010107203303734349,0.0014003456467064693,0.04439000787530697,0.18650970611925674,1.0,0.03389830508474576,0.3333333333333333,0
170014295BCD_170014295FD,0.22535211267605634,0.6623057883672238,0.01117912997248291,0.0014003456467064693,0.06568579752160648,0.20320646161521633,1.0,0.03389830508474576,0.3333333333333333,0
